"","x"
"718","ENSMUSG00000023993"
"719","ENSMUSG00000008843"
"720","ENSMUSG00000097875"
"721","ENSMUSG00000102323"
"722","ENSMUSG00000085818"
"723","ENSMUSG00000033578"
"724","ENSMUSG00000084739"
"725","ENSMUSG00000064652"
"726","ENSMUSG00000085887"
"727","ENSMUSG00000037593"
"728","ENSMUSG00000089281"
"729","ENSMUSG00000022900"
"730","ENSMUSG00000087881"
"731","ENSMUSG00000022580"
"732","ENSMUSG00000046387"
"733","ENSMUSG00000026614"
"734","ENSMUSG00000027313"
"735","ENSMUSG00000102649"
"736","ENSMUSG00000033389"
"737","ENSMUSG00000087293"
"738","ENSMUSG00000098055"
"739","ENSMUSG00000048027"
"740","ENSMUSG00000076463"
"741","ENSMUSG00000027318"
"742","ENSMUSG00000084788"
"743","ENSMUSG00000065822"
"744","ENSMUSG00000031788"
"745","ENSMUSG00000056643"
"746","ENSMUSG00000030851"
"747","ENSMUSG00000085145"
"748","ENSMUSG00000044534"
"749","ENSMUSG00000077787"
"750","ENSMUSG00000089407"
"751","ENSMUSG00000047227"
"752","ENSMUSG00000026644"
"753","ENSMUSG00000028402"
"754","ENSMUSG00000086542"
"755","ENSMUSG00000088623"
"756","ENSMUSG00000102451"
"757","ENSMUSG00000087314"
"758","ENSMUSG00000034071"
"759","ENSMUSG00000103731"
"760","ENSMUSG00000030401"
"761","ENSMUSG00000008136"
"762","ENSMUSG00000050931"
"763","ENSMUSG00000044006"
"764","ENSMUSG00000045287"
"765","ENSMUSG00000079550"
"766","ENSMUSG00000037944"
"767","ENSMUSG00000104443"
"768","ENSMUSG00000085505"
"769","ENSMUSG00000068299"
"770","ENSMUSG00000024245"
"771","ENSMUSG00000026380"
"772","ENSMUSG00000035509"
"773","ENSMUSG00000086076"
"774","ENSMUSG00000024402"
"775","ENSMUSG00000029752"
"776","ENSMUSG00000085762"
"777","ENSMUSG00000036687"
"778","ENSMUSG00000091109"
"779","ENSMUSG00000030148"
"780","ENSMUSG00000100985"
"781","ENSMUSG00000101214"
"782","ENSMUSG00000089261"
"783","ENSMUSG00000066684"
"784","ENSMUSG00000097990"
"785","ENSMUSG00000084711"
"786","ENSMUSG00000015533"
"787","ENSMUSG00000103303"
"788","ENSMUSG00000102143"
"789","ENSMUSG00000070461"
"790","ENSMUSG00000053574"
"791","ENSMUSG00000025656"
"792","ENSMUSG00000020364"
"793","ENSMUSG00000097129"
"794","ENSMUSG00000096854"
"795","ENSMUSG00000030214"
"796","ENSMUSG00000019853"
"797","ENSMUSG00000102503"
"798","ENSMUSG00000085914"
"799","ENSMUSG00000073856"
"800","ENSMUSG00000087397"
"801","ENSMUSG00000087480"
"802","ENSMUSG00000090236"
"803","ENSMUSG00000065089"
"804","ENSMUSG00000074577"
"805","ENSMUSG00000040466"
"806","ENSMUSG00000076605"
"807","ENSMUSG00000098191"
"808","ENSMUSG00000022504"
"809","ENSMUSG00000033765"
"810","ENSMUSG00000040616"
"811","ENSMUSG00000037010"
"812","ENSMUSG00000022025"
"813","ENSMUSG00000094505"
"814","ENSMUSG00000030032"
"815","ENSMUSG00000069917"
"816","ENSMUSG00000079363"
"817","ENSMUSG00000022429"
"818","ENSMUSG00000054589"
"819","ENSMUSG00000102625"
"820","ENSMUSG00000093765"
"821","ENSMUSG00000006143"
"822","ENSMUSG00000027805"
"823","ENSMUSG00000097740"
"824","ENSMUSG00000016255"
"825","ENSMUSG00000032315"
"826","ENSMUSG00000021250"
"827","ENSMUSG00000102553"
"828","ENSMUSG00000057729"
"829","ENSMUSG00000103827"
"830","ENSMUSG00000071847"
"831","ENSMUSG00000049134"
"832","ENSMUSG00000046731"
"833","ENSMUSG00000074340"
"834","ENSMUSG00000026828"
"835","ENSMUSG00000030782"
"836","ENSMUSG00000103766"
"837","ENSMUSG00000068349"
"838","ENSMUSG00000038984"
"839","ENSMUSG00000102385"
"840","ENSMUSG00000041695"
"841","ENSMUSG00000043518"
"842","ENSMUSG00000044117"
"843","ENSMUSG00000031142"
"844","ENSMUSG00000094051"
"845","ENSMUSG00000031257"
"846","ENSMUSG00000081256"
"847","ENSMUSG00000022211"
"848","ENSMUSG00000039154"
"849","ENSMUSG00000030589"
"850","ENSMUSG00000041608"
"851","ENSMUSG00000102951"
"852","ENSMUSG00000084884"
"853","ENSMUSG00000103967"
"854","ENSMUSG00000085667"
"855","ENSMUSG00000059891"
"856","ENSMUSG00000076472"
"857","ENSMUSG00000071113"
"858","ENSMUSG00000024391"
"859","ENSMUSG00000094241"
"860","ENSMUSG00000028019"
"861","ENSMUSG00000085732"
"862","ENSMUSG00000006313"
"863","ENSMUSG00000023930"
"864","ENSMUSG00000074923"
"865","ENSMUSG00000099280"
"866","ENSMUSG00000061740"
"867","ENSMUSG00000031722"
"868","ENSMUSG00000041673"
"869","ENSMUSG00000085678"
"870","ENSMUSG00000020399"
"871","ENSMUSG00000031340"
"872","ENSMUSG00000050195"
"873","ENSMUSG00000103436"
